col,chosen,rmse_knn,rmse_mice_elastic
Sclera.1_microct,knn,0.6294735567989792,1.1586393087263844
Choroid.1_microct,knn,0.7378870887209248,0.9984276599404572
Pigment Layer.1_microct,knn,0.6192666269742214,1.4748491298773607
Retina.1_microct,knn,0.11861988194424547,0.3698972871865587
Right-left_microct,mice_elastic,0.13435997982820846,0.05516349127551776
Ant-Post.1_microct,knn,1.01228057935354,1.0549023988472581
Sclera_microct,mice_elastic,0.5432713646918481,0.35260997078446304
Choroid_microct,knn,0.1619181352482424,0.5345468039971221
Pigment Layer_microct,knn,0.28000308545044794,1.0397098620165033
Retina_microct,mice_elastic,0.47248517596439354,0.461085874698695
Ant-Post_microct,knn,1.2959774854033537,1.5303835607899663
Sup-Inf_microct,mice_elastic,,
E9Q6F9,mice_elastic,,
E9PUX1,mice_elastic,,
Q3UC73,mice_elastic,0.9128981162220979,0.378525753565623
A2AS33,mice_elastic,1.1788042640699037,1.04620402135129
A0A140LJJ8,mice_elastic,1.9327956661386287,1.0089256238047397
Q544D2,knn,0.4081996976210568,0.41499340684610897
A2AST1,mice_elastic,,
H3BJG3,mice_elastic,1.2274794463986158,1.2117272801813428
Q9U410,mice_elastic,,
Q9D4F2,mice_elastic,0.7825443895977812,0.10072328764231031
Q3U6Y0,mice_elastic,,
Q9QZD4,mice_elastic,,
Q3TXW4,mice_elastic,,
Q9CTG7,mice_elastic,1.161701036412294,0.8836468989490177
D3Z286,knn,0.40765564114102926,1.1970637855080608
Q4FJX7,knn,0.8337542573493154,2.620224375138474
Q6NSQ9,mice_elastic,1.3660184184136366,1.0557376240837306
A0A0A0MQ97,mice_elastic,,
E9Q109,knn,0.6614053340682021,1.1107679028972544
Q3TR19,mice_elastic,1.0894604334297493,0.893895355319926
A0A0G2JG60,mice_elastic,,
A0A087WRL8,knn,0.6219364349352433,3.5899132294009672
Q3TFI4,mice_elastic,0.13781278916406353,0.08819672024370033
Q91XH7,mice_elastic,,
B7ZNK8,mice_elastic,,
Q6DFV6,mice_elastic,,
B1AUE5,mice_elastic,,
Q3U1W7,mice_elastic,,
Q99L48,mice_elastic,1.788739265909502,0.3194954653935923
A0A286YDF2,mice_elastic,,
M0QWA7,knn,0.7637264172421612,1.3311234049220844
Q5SWW4,mice_elastic,,
Q3UXI0,mice_elastic,1.2457230207598535,0.13644204452379977
B2KF52,mice_elastic,,
Q5DU39,knn,0.9568552407941868,2.925686202346645
Q8C1W2,knn,0.6576854682061096,1.2824161569757113
Q545V6,mice_elastic,,
Q14BY7,mice_elastic,0.034170695816238564,0.03121807009277459
Q14BB8,mice_elastic,2.5881091515911843,1.7281246093289078
B2RWR4,knn,1.6786853226429108,2.1557832435615234
Q3US82,knn,1.9724294355347671,2.376622421568978
Q6ZQC1,knn,0.8687293719645658,2.02000439497002
Q8R5A6,mice_elastic,0.9673397121701928,0.6703622542595363
Q8K443,mice_elastic,0.935933379119535,0.7295695038971026
Q9CPW9,knn,0.09422350940166405,2.9076273247043822
Q52KE7,knn,1.1010148842224925,1.9309841998575592
A0A171EBL2,mice_elastic,0.8351029851790186,0.49840314927753954
Q9CT83,mice_elastic,1.7975921350943032,1.394534095902092
Q8BXK9,knn,0.45596757941713284,2.4757792665451896
B9EHX4,mice_elastic,1.555751169903841,0.9082103587937786
Q9D1C2,knn,1.2798738393524849,1.8048167701515336
H3BJY1,mice_elastic,0.4186613716634989,0.391568259869809
D3Z641,mice_elastic,1.6386497422017974,1.4087703773536333
F6WQ99,mice_elastic,,
Q3UGG9,knn,0.4416338689626322,0.5864843366997243
B7ZMZ2,knn,0.9447928633160793,2.6981265064324287
Q9CQH8,knn,1.8216660041834014,2.974919417970387
Q3V1T9,knn,1.430051807876026,1.6228758434280275
Q91VJ2,knn,3.904875932523454,4.412904284414522
Q8BTE9,knn,0.823789953258226,1.4419406956370417
A0A0G2JES0,mice_elastic,1.1883931431424986,0.667511672623599
Q3TLT5,knn,1.1361176896970608,1.9215624130783644
Q6A0E5,knn,0.44106398259788304,1.8725251837245567
A0A1B0GS08,mice_elastic,,
Q571E4,knn,0.0040729986707800534,0.732733130064775
Q3UJ81,mice_elastic,0.8896320572080194,0.01217805142226446
Q9D952,knn,0.7344136793732978,1.292144930005635
Q8BPZ8,knn,0.8211389225424313,1.8516061738471732
Q9CWJ3,mice_elastic,,
Q8K2P6,knn,1.682865030667377,2.1682763555328477
A2AR99,mice_elastic,1.5253445762175641,1.217604798911993
Q5U471,knn,0.8018408082516996,0.9901598139083794
P83503,knn,1.3827107414318567,1.5653950552697915
A0PJ57,knn,0.1991795339235762,0.26790203007684854
Q9WTR1,mice_elastic,1.8539680040062334,1.8153461064279135
Q3TI70,knn,0.3619847502791229,0.7256875556202702
Q8K1H7,mice_elastic,,
Q497H0,mice_elastic,0.49435874221747655,0.24225181351264818
Q0VGU4,knn,0.3008883979287541,1.0550339786065956
E9PX23,mice_elastic,,
Q8R3V2,mice_elastic,1.2800077121849518,1.2145923425972396
Q3U3K5,mice_elastic,,
Q9D4J1,knn,1.2192825247366825,2.074822423654174
Q3UFM5,knn,1.0208476288104498,1.3367423685384616
